game_id,game_date,home_team_id,away_team_id,home_score,away_score,status
778557,2025-03-27,NYY,MIL,4,2,Final
778556,2025-03-27,TOR,BAL,2,12,Final
778553,2025-03-27,TEX,BOS,2,5,Final
778555,2025-03-27,WSH,PHI,3,7,Final
778558,2025-03-27,KC,CLE,4,7,Final
778559,2025-03-27,HOU,NYM,3,1,Final
778561,2025-03-27,CIN,SF,4,6,Final
778545,2025-03-27,SD,ATL,7,4,Final
778554,2025-03-27,CWS,LAA,8,1,Final
778562,2025-03-27,MIA,PIT,5,4,Final
778551,2025-03-27,STL,MIN,5,3,Final
778546,2025-03-27,LAD,DET,5,4,Final
778552,2025-03-27,ARI,CHC,6,10,Final
778547,2025-03-27,SEA,OAK,4,2,Final
778560,2025-03-28,TB,COL,3,2,Final
778549,2025-03-28,TOR,BAL,8,2,Final
778548,2025-03-28,MIA,PIT,3,4,Final
778550,2025-03-28,TEX,BOS,4,1,Final
778518,2025-03-28,HOU,NYM,1,3,Final
778543,2025-03-28,ARI,CHC,8,1,Final
778541,2025-03-28,SEA,OAK,0,7,Final
778542,2025-03-28,SD,ATL,4,3,Final
778544,2025-03-28,LAD,DET,8,5,Final
778538,2025-03-29,NYY,MIL,20,9,Final
778534,2025-03-29,CWS,LAA,0,1,Final
778528,2025-03-29,STL,MIN,5,1,Final
778536,2025-03-29,TOR,BAL,5,9,Final
778535,2025-03-29,WSH,PHI,6,11,Final
778529,2025-03-29,KC,CLE,4,3,Final
778540,2025-03-29,CIN,SF,3,2,Final
778537,2025-03-29,TB,COL,1,2,Final
778539,2025-03-29,MIA,PIT,5,4,Final
778531,2025-03-29,TEX,BOS,4,3,Final
778530,2025-03-29,HOU,NYM,2,1,Final
778520,2025-03-29,SD,ATL,1,0,Final
778532,2025-03-29,ARI,CHC,3,4,Final
778533,2025-03-29,LAD,DET,7,3,Final
778521,2025-03-29,SEA,OAK,2,4,Final
778526,2025-03-30,WSH,PHI,5,1,Final
778523,2025-03-30,NYY,MIL,12,3,Final
778525,2025-03-30,TOR,BAL,3,1,Final
