game_id,game_date,home_team_id,away_team_id,home_score,away_score,status
718780,2023-03-30,WSH,ATL,2,7,Final
718781,2023-03-30,NYY,SF,5,0,Final
718782,2023-03-30,BOS,BAL,9,10,Final
718777,2023-03-30,CHC,MIL,4,0,Final
718776,2023-03-30,TB,DET,4,0,Final
718779,2023-03-30,TEX,PHI,11,7,Final
718773,2023-03-30,CIN,PIT,4,5,Final
718772,2023-03-30,STL,TOR,9,10,Final
718775,2023-03-30,KC,MIN,0,2,Final
718774,2023-03-30,MIA,NYM,3,5,Final
718768,2023-03-30,HOU,CWS,2,3,Final
718778,2023-03-30,SD,COL,2,7,Final
718769,2023-03-30,OAK,LAA,2,1,Final
718770,2023-03-30,LAD,ARI,8,2,Final
718767,2023-03-30,SEA,CLE,3,0,Final
718771,2023-03-31,MIA,NYM,2,1,Final
718764,2023-03-31,HOU,CWS,6,3,Final
718766,2023-03-31,SD,COL,1,4,Final
718765,2023-03-31,LAD,ARI,1,2,Final
718763,2023-03-31,SEA,CLE,4,9,Final
718760,2023-04-01,HOU,CWS,6,4,Final
718759,2023-04-01,STL,TOR,4,1,Final
718758,2023-04-01,CHC,MIL,1,3,Final
718752,2023-04-01,TEX,PHI,16,3,Final
718753,2023-04-01,WSH,ATL,1,7,Final
718762,2023-04-01,NYY,SF,5,7,Final
718757,2023-04-01,OAK,LAA,1,13,Final
718761,2023-04-01,BOS,BAL,9,8,Final
718756,2023-04-01,CIN,PIT,6,2,Final
718754,2023-04-01,TB,DET,12,2,Final
718751,2023-04-01,KC,MIN,0,2,Final
718755,2023-04-01,MIA,NYM,2,6,Final
718750,2023-04-01,SD,COL,8,4,Final
718749,2023-04-01,LAD,ARI,10,1,Final
718746,2023-04-01,SEA,CLE,0,2,Final
718742,2023-04-02,TB,DET,5,1,Final
718748,2023-04-02,BOS,BAL,9,5,Final
718743,2023-04-02,WSH,ATL,4,1,Final
718747,2023-04-02,NYY,SF,6,0,Final
718744,2023-04-02,CIN,PIT,3,1,Final
718741,2023-04-02,MIA,NYM,1,5,Final
718745,2023-04-02,KC,MIN,4,7,Final
718740,2023-04-02,HOU,CWS,3,6,Final
718737,2023-04-02,STL,TOR,9,4,Final
718738,2023-04-02,CHC,MIL,5,9,Final
718734,2023-04-02,OAK,LAA,0,6,Final
718736,2023-04-02,LAD,ARI,1,2,Final
718733,2023-04-02,SD,COL,3,1,Final
718735,2023-04-02,SEA,CLE,5,6,Final
718739,2023-04-02,TEX,PHI,2,1,Final
718731,2023-04-03,MIL,NYM,10,0,Final
718730,2023-04-03,CWS,SF,3,12,Final
718728,2023-04-03,CIN,CHC,7,6,Final
718729,2023-04-03,MIA,MIN,1,11,Final
718732,2023-04-03,WSH,TB,2,6,Final
718725,2023-04-03,NYY,PHI,8,1,Final
718724,2023-04-03,BOS,PIT,6,7,Final
718719,2023-04-03,KC,TOR,9,5,Final
718727,2023-04-03,STL,ATL,4,8,Final
718726,2023-04-03,TEX,BAL,0,2,Final
718723,2023-04-03,HOU,DET,6,7,Final
718721,2023-04-03,OAK,CLE,11,12,Final
718722,2023-04-03,SD,ARI,5,4,Final
718720,2023-04-03,SEA,LAA,3,7,Final
718718,2023-04-03,LAD,COL,13,4,Final
