game_id,game_date,home_team_id,away_team_id,home_score,away_score,status
823081,2026-03-26,STL,TB,9,7,Final
823163,2026-03-26,SEA,CLE,4,6,Final
823325,2026-03-26,SD,DET,2,8,Final
823486,2026-03-26,PHI,TEX,5,3,Final
823649,2026-03-26,NYM,PIT,11,7,Final
823812,2026-03-26,MIL,CWS,14,2,Final
823974,2026-03-26,LAD,ARI,8,2,Final
824218,2026-03-26,HOU,LAA,0,3,Final
824541,2026-03-26,CIN,BOS,0,3,Final
824704,2026-03-26,CHC,WSH,4,10,Final
824865,2026-03-26,BAL,MIN,2,1,Final
822839,2026-03-27,TOR,OAK,3,2,Final
823162,2026-03-27,SEA,CLE,5,1,Final
823243,2026-03-27,SF,NYY,0,3,Final
823324,2026-03-27,SD,DET,2,5,Final
823893,2026-03-27,MIA,COL,2,1,Final
823971,2026-03-27,LAD,ARI,5,4,Final
824216,2026-03-27,HOU,LAA,2,6,Final
824946,2026-03-27,ATL,KC,6,0,Final
822838,2026-03-28,TOR,OAK,8,7,Final
823082,2026-03-28,STL,TB,6,5,Final
823161,2026-03-28,SEA,CLE,5,6,Final
823241,2026-03-28,SF,NYY,1,3,Final
823323,2026-03-28,SD,DET,3,0,Final
823488,2026-03-28,PHI,TEX,4,5,Final
823651,2026-03-28,NYM,PIT,4,2,Final
823811,2026-03-28,MIL,CWS,6,1,Final
823892,2026-03-28,MIA,COL,4,3,Final
823973,2026-03-28,LAD,ARI,3,2,Final
824213,2026-03-28,HOU,LAA,11,9,Final
824540,2026-03-28,CIN,BOS,6,5,Final
824701,2026-03-28,CHC,WSH,10,2,Final
824862,2026-03-28,BAL,MIN,1,4,Final
824945,2026-03-28,ATL,KC,6,2,Final
822837,2026-03-29,TOR,OAK,5,2,Final
823079,2026-03-29,STL,TB,7,11,Final
823160,2026-03-29,SEA,CLE,8,0,Final
823487,2026-03-29,PHI,TEX,3,8,Final
823647,2026-03-29,NYM,PIT,3,4,Final
823810,2026-03-29,MIL,CWS,9,7,Final
823891,2026-03-29,MIA,COL,4,3,Final
824215,2026-03-29,HOU,LAA,9,7,Final
824538,2026-03-29,CIN,BOS,3,2,Final
824700,2026-03-29,CHC,WSH,3,6,Final
824864,2026-03-29,BAL,MIN,8,6,Final
824944,2026-03-29,ATL,KC,1,4,Final
822834,2026-03-30,TOR,COL,5,14,Final
823080,2026-03-30,STL,NYM,2,4,Final
823159,2026-03-30,SEA,NYY,2,1,Final
823320,2026-03-30,SD,SF,2,3,Final
823484,2026-03-30,PHI,WSH,2,13,Final
823809,2026-03-30,MIL,TB,2,3,Final
823890,2026-03-30,MIA,CWS,4,9,Final
823972,2026-03-30,LAD,CLE,2,4,Final
824135,2026-03-30,KC,MIN,3,1,Final
824214,2026-03-30,HOU,BOS,8,1,Final
824539,2026-03-30,CIN,PIT,2,0,Final
824702,2026-03-30,CHC,LAA,7,2,Final
824863,2026-03-30,BAL,TEX,2,5,Final
824943,2026-03-30,ATL,OAK,4,0,Final
825108,2026-03-30,ARI,DET,9,6,Final
822836,2026-03-31,TOR,COL,5,1,Final
823077,2026-03-31,STL,NYM,3,0,Final
823158,2026-03-31,SEA,NYY,0,5,Final
823322,2026-03-31,SD,SF,3,9,Final
823485,2026-03-31,PHI,WSH,3,2,Final
823807,2026-03-31,MIL,TB,6,2,Final
823888,2026-03-31,MIA,CWS,9,2,Final
823969,2026-03-31,LAD,CLE,4,1,Final
824212,2026-03-31,HOU,BOS,9,2,Final
824537,2026-03-31,CIN,PIT,3,8,Final
824699,2026-03-31,CHC,LAA,0,2,Final
824861,2026-03-31,BAL,TEX,5,8,Final
824942,2026-03-31,ATL,OAK,2,5,Final
825107,2026-03-31,ARI,DET,7,5,Final
822835,2026-04-01,TOR,COL,1,2,Final
823078,2026-04-01,STL,NYM,2,1,Final
823157,2026-04-01,SEA,NYY,3,5,Final
823321,2026-04-01,SD,SF,7,1,Final
823483,2026-04-01,PHI,WSH,6,5,Final
823806,2026-04-01,MIL,TB,8,2,Final
823889,2026-04-01,MIA,CWS,10,0,Final
823970,2026-04-01,LAD,CLE,1,4,Final
824136,2026-04-01,KC,MIN,13,9,Final
824211,2026-04-01,HOU,BOS,6,4,Final
824536,2026-04-01,CIN,PIT,3,8,Final
824698,2026-04-01,CHC,LAA,6,2,Final
824860,2026-04-01,BAL,TEX,8,3,Final
824940,2026-04-01,ATL,OAK,5,1,Final
825106,2026-04-01,ARI,DET,1,0,Final
823242,2026-04-02,SF,NYM,7,2,Final
824133,2026-04-02,KC,MIN,1,5,Final
825105,2026-04-02,ARI,ATL,2,17,Final
822758,2026-04-03,WSH,LAD,6,13,Final
822919,2026-04-03,TEX,CIN,3,5,Final
823240,2026-04-03,SF,NYM,3,10,Final
823406,2026-04-03,PIT,BAL,5,4,Final
823568,2026-04-03,NYY,MIA,8,2,Final
823732,2026-04-03,MIN,TB,10,4,Final
824056,2026-04-03,LAA,SEA,1,3,Final
824299,2026-04-03,DET,STL,4,0,Final
824377,2026-04-03,COL,PHI,1,10,Final
824458,2026-04-03,CLE,CHC,4,1,Final
824621,2026-04-03,CWS,TOR,5,4,Final
824786,2026-04-03,BOS,SD,5,2,Final
825026,2026-04-03,OAK,HOU,11,4,Final
825103,2026-04-03,ARI,ATL,0,2,Final
822757,2026-04-04,WSH,LAD,5,10,Final
822920,2026-04-04,TEX,CIN,0,2,Final
823239,2026-04-04,SF,NYM,0,9,Final
823404,2026-04-04,PIT,BAL,3,2,Final
823569,2026-04-04,NYY,MIA,9,7,Final
823730,2026-04-04,MIN,TB,1,7,Final
824054,2026-04-04,LAA,SEA,1,0,Final
824132,2026-04-04,KC,MIL,2,5,Final
824134,2026-04-04,KC,MIL,8,2,Final
824295,2026-04-04,DET,STL,11,6,Completed Early
824378,2026-04-04,COL,PHI,1,2,Final
824622,2026-04-04,CWS,TOR,6,3,Final
824782,2026-04-04,BOS,SD,2,3,Final
825027,2026-04-04,OAK,HOU,0,11,Final
825104,2026-04-04,ARI,ATL,2,1,Final
822756,2026-04-05,WSH,LAD,6,8,Final
822917,2026-04-05,TEX,CIN,1,2,Final
823238,2026-04-05,SF,NYM,2,5,Final
823405,2026-04-05,PIT,BAL,8,2,Final
823566,2026-04-05,NYY,MIA,6,7,Final
823729,2026-04-05,MIN,TB,1,4,Final
824053,2026-04-05,LAA,SEA,8,7,Final
824131,2026-04-05,KC,MIL,5,8,Final
824296,2026-04-05,DET,STL,3,5,Final
824379,2026-04-05,COL,PHI,4,1,Final
824459,2026-04-05,CLE,CHC,0,1,Final
824460,2026-04-05,CLE,CHC,6,5,Final
824620,2026-04-05,CWS,TOR,3,0,Final
824781,2026-04-05,BOS,SD,6,8,Final
825025,2026-04-05,OAK,HOU,12,10,Final
825102,2026-04-05,ARI,ATL,6,5,Final
822755,2026-04-06,WSH,STL,9,6,Final
822832,2026-04-06,TOR,LAD,2,14,Final
822918,2026-04-06,TEX,SEA,2,1,Final
823002,2026-04-06,TB,CHC,6,4,Final
823237,2026-04-06,SF,PHI,4,6,Final
823401,2026-04-06,PIT,SD,0,5,Final
823728,2026-04-06,MIN,DET,7,3,Final
823886,2026-04-06,MIA,CIN,0,2,Final
824052,2026-04-06,LAA,ATL,6,2,Final
824376,2026-04-06,COL,HOU,9,7,Final
824456,2026-04-06,CLE,KC,2,4,Final
824619,2026-04-06,CWS,BAL,1,2,Final
824783,2026-04-06,BOS,MIL,6,8,Final
822754,2026-04-07,WSH,STL,6,7,Final
822831,2026-04-07,TOR,LAD,1,4,Final
822916,2026-04-07,TEX,SEA,3,2,Final
822999,2026-04-07,TB,CHC,2,9,Final
823235,2026-04-07,SF,PHI,6,0,Final
823402,2026-04-07,PIT,SD,7,1,Final
823567,2026-04-07,NYY,OAK,5,3,Final
823648,2026-04-07,NYM,ARI,4,3,Final
823727,2026-04-07,MIN,DET,4,2,Final
823887,2026-04-07,MIA,CIN,3,6,Final
824051,2026-04-07,LAA,ATL,2,7,Final
824375,2026-04-07,COL,HOU,5,1,Final
824457,2026-04-07,CLE,KC,2,1,Final
824618,2026-04-07,CWS,BAL,2,4,Final
824780,2026-04-07,BOS,MIL,3,2,Final
822753,2026-04-08,WSH,STL,1,6,Final
822833,2026-04-08,TOR,LAD,4,3,Final
822915,2026-04-08,TEX,SEA,3,0,Final
823000,2026-04-08,TB,CHC,2,6,Final
823234,2026-04-08,SF,PHI,5,0,Final
823403,2026-04-08,PIT,SD,2,8,Final
823564,2026-04-08,NYY,OAK,2,3,Final
823646,2026-04-08,NYM,ARI,2,7,Final
823726,2026-04-08,MIN,DET,8,6,Final
823885,2026-04-08,MIA,CIN,7,4,Final
824050,2026-04-08,LAA,ATL,2,8,Final
824374,2026-04-08,COL,HOU,9,1,Final
824455,2026-04-08,CLE,KC,10,2,Final
824617,2026-04-08,CWS,BAL,3,5,Final
824779,2026-04-08,BOS,MIL,5,0,Final
823319,2026-04-09,SD,COL,7,3,Final
823565,2026-04-09,NYY,OAK,0,1,Final
823645,2026-04-09,NYM,ARI,1,7,Final
823724,2026-04-09,MIN,DET,3,1,Final
