game_id,game_date,team_id,side,player_id,player_name,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases
745445,2024-03-28,SF,away,656305,Matt Chapman,4,0,1,0,0,0,0,0,1,0
745445,2024-03-28,SF,away,527038,Wilmer Flores,2,0,0,0,0,0,0,0,1,0
745445,2024-03-28,SF,away,808982,Jung Hoo Lee,3,0,1,0,0,0,1,0,1,0
745445,2024-03-28,SF,away,664774,LaMonte Wade Jr.,2,0,1,0,0,0,0,0,0,0
745445,2024-03-28,SF,away,573262,Mike Yastrzemski,4,0,0,0,0,0,0,0,3,0
746165,2024-03-28,LAD,home,669257,Will Smith,4,0,1,0,0,0,0,0,0,0
746165,2024-03-28,LAD,home,621035,Chris Taylor,1,0,0,0,0,0,0,0,0,0
746165,2024-03-28,LAD,home,571771,Enrique Hernández,1,0,0,0,0,0,0,0,1,0
746165,2024-03-28,LAD,home,571970,Max Muncy,3,0,1,0,0,0,2,0,2,0
746165,2024-03-28,LAD,home,518792,Jason Heyward,3,0,0,0,0,0,0,0,0,0
746165,2024-03-28,LAD,home,518692,Freddie Freeman,3,2,2,0,0,1,3,1,1,0
746165,2024-03-28,LAD,home,660271,Shohei Ohtani,3,1,2,1,0,0,0,1,1,0
746165,2024-03-28,LAD,home,606192,Teoscar Hernández,4,1,1,1,0,0,0,0,3,0
746165,2024-03-28,LAD,home,666158,Gavin Lux,3,0,0,0,0,0,0,0,1,0
746165,2024-03-28,LAD,home,681546,James Outman,3,0,2,0,0,0,1,0,1,0
746165,2024-03-28,LAD,home,605141,Mookie Betts,2,3,1,0,0,1,1,2,0,0
746165,2024-03-28,LAD,home,500743,Miguel Rojas,1,0,0,0,0,0,0,0,0,0
746165,2024-03-28,STL,away,669357,Nolan Gorman,4,0,0,0,0,0,0,0,2,0
746165,2024-03-28,STL,away,691023,Jordan Walker,3,0,0,0,0,0,0,0,1,0
746165,2024-03-28,STL,away,687363,Victor Scott II,3,0,0,0,0,0,0,0,1,1
746165,2024-03-28,STL,away,575929,Willson Contreras,3,0,0,0,0,0,0,1,0,0
746165,2024-03-28,STL,away,571448,Nolan Arenado,4,0,0,0,0,0,0,0,0,0
746165,2024-03-28,STL,away,676475,Alec Burleson,3,0,0,0,0,0,0,0,1,0
746165,2024-03-28,STL,away,502671,Paul Goldschmidt,4,1,3,0,0,1,1,0,1,0
746165,2024-03-28,STL,away,680977,Brendan Donovan,4,0,0,0,0,0,0,0,0,0
746165,2024-03-28,STL,away,691026,Masyn Winn,3,0,0,0,0,0,0,0,0,0
745116,2024-03-28,TB,home,642350,Jose Siri,4,0,1,0,0,0,0,0,2,1
745116,2024-03-28,TB,home,670623,Isaac Paredes,4,0,0,0,0,0,0,0,1,0
745116,2024-03-28,TB,home,623912,Harold Ramírez,4,0,0,0,0,0,0,0,1,0
745116,2024-03-28,TB,home,676609,José Caballero,4,0,1,0,0,0,0,0,2,0
745116,2024-03-28,TB,home,664040,Brandon Lowe,3,0,1,0,0,0,0,1,1,0
745116,2024-03-28,TB,home,680700,Richie Palacios,2,0,0,0,0,0,0,1,1,0
745116,2024-03-28,TB,home,668227,Randy Arozarena,4,0,0,0,0,0,0,0,2,0
745116,2024-03-28,TB,home,642708,Amed Rosario,1,0,1,1,0,0,0,0,0,0
745116,2024-03-28,TB,home,650907,René Pinto,3,1,1,1,0,0,0,0,1,0
745116,2024-03-28,TB,home,650490,Yandy Díaz,4,1,3,1,0,1,2,0,0,0
745116,2024-03-28,TOR,away,666182,Bo Bichette,4,1,2,1,0,0,2,1,1,0
745116,2024-03-28,TOR,away,662139,Daulton Varsho,3,1,0,0,0,0,0,1,1,0
745116,2024-03-28,TOR,away,595281,Kevin Kiermaier,3,0,1,0,0,0,1,1,1,0
745116,2024-03-28,TOR,away,643396,Isiah Kiner-Falefa,4,0,0,0,0,0,0,0,0,0
745116,2024-03-28,TOR,away,543807,George Springer,4,2,1,0,0,1,1,1,0,0
745116,2024-03-28,TOR,away,624415,Cavan Biggio,2,2,1,0,0,1,1,2,1,0
745116,2024-03-28,TOR,away,665489,Vladimir Guerrero Jr.,5,1,1,0,0,1,1,0,1,0
745116,2024-03-28,TOR,away,672386,Alejandro Kirk,3,0,1,0,0,0,2,1,1,0
745116,2024-03-28,TOR,away,457759,Justin Turner,4,1,0,0,0,0,0,0,1,0
746335,2024-03-28,KC,home,624428,Adam Frazier,3,0,1,0,0,0,0,0,0,0
746335,2024-03-28,KC,home,592669,Hunter Renfroe,3,0,0,0,0,0,0,0,1,0
746335,2024-03-28,KC,home,521692,Salvador Perez,4,0,0,0,0,0,0,0,2,0
746335,2024-03-28,KC,home,669004,MJ Melendez,4,0,1,1,0,0,0,0,1,0
746335,2024-03-28,KC,home,680118,Dairon Blanco,0,0,0,0,0,0,0,0,0,0
746335,2024-03-28,KC,home,686469,Vinnie Pasquantino,4,0,0,0,0,0,0,0,0,0
746335,2024-03-28,KC,home,664728,Kyle Isbel,3,0,1,0,0,0,0,0,0,0
746335,2024-03-28,KC,home,672580,Maikel Garcia,4,1,1,0,0,1,1,0,1,0
746335,2024-03-28,KC,home,677951,Bobby Witt Jr.,3,0,1,1,0,0,0,1,2,0
746335,2024-03-28,KC,home,676369,Nelson Velázquez,3,0,0,0,0,0,0,0,1,0
746335,2024-03-28,MIN,away,650489,Willi Castro,4,0,0,0,0,0,0,0,3,0
746335,2024-03-28,MIN,away,622534,Manuel Margot,2,1,1,0,0,0,0,0,1,0
746335,2024-03-28,MIN,away,666397,Edouard Julien,2,0,1,0,0,0,0,1,0,0
746335,2024-03-28,MIN,away,571657,Kyle Farmer,3,0,0,0,0,0,0,1,2,0
746335,2024-03-28,MIN,away,680777,Ryan Jeffers,5,0,0,0,0,0,0,0,1,0
746335,2024-03-28,MIN,away,666135,Alex Kirilloff,2,1,1,0,0,0,0,0,0,0
746335,2024-03-28,MIN,away,621043,Carlos Correa,4,0,3,1,0,0,2,1,0,0
746335,2024-03-28,MIN,away,596146,Max Kepler,4,0,0,0,0,0,0,0,2,0
746335,2024-03-28,MIN,away,668904,Royce Lewis,2,1,2,0,0,1,1,0,0,0
746335,2024-03-28,MIN,away,621439,Byron Buxton,4,1,1,0,0,0,0,1,1,0
746335,2024-03-28,MIN,away,467793,Carlos Santana,4,0,1,0,0,0,0,1,2,0
746335,2024-03-28,MIN,away,670242,Matt Wallner,1,0,0,0,0,0,0,0,0,0
746821,2024-03-28,CWS,home,455117,Martín Maldonado,3,0,0,0,0,0,0,0,1,0
746821,2024-03-28,CWS,home,660162,Yoán Moncada,4,0,0,0,0,0,0,0,1,0
746821,2024-03-28,CWS,home,683734,Andrew Vaughn,3,0,1,0,0,0,0,0,2,0
746821,2024-03-28,CWS,home,670032,Nicky Lopez,3,0,0,0,0,0,0,0,0,0
746821,2024-03-28,CWS,home,657557,Paul DeJong,3,0,0,0,0,0,0,0,2,0
746821,2024-03-28,CWS,home,643217,Andrew Benintendi,4,0,0,0,0,0,0,0,2,0
746821,2024-03-28,CWS,home,607680,Kevin Pillar,3,0,0,0,0,0,0,0,1,0
746821,2024-03-28,CWS,home,650391,Eloy Jiménez,3,0,1,0,0,0,0,0,0,0
746821,2024-03-28,CWS,home,673357,Luis Robert Jr.,4,0,1,0,0,0,0,0,2,0
746821,2024-03-28,DET,away,595879,Javier Báez,4,1,1,0,0,0,0,0,1,1
746821,2024-03-28,DET,away,682985,Riley Greene,4,0,0,0,0,0,0,0,2,0
746821,2024-03-28,DET,away,681481,Kerry Carpenter,0,0,0,0,0,0,0,0,0,0
746821,2024-03-28,DET,away,570482,Gio Urshela,0,0,0,0,0,0,0,0,0,0
746821,2024-03-28,DET,away,679529,Spencer Torkelson,4,0,2,0,0,0,0,0,0,0
746821,2024-03-28,DET,away,592192,Mark Canha,3,0,0,0,0,0,0,1,2,0
746821,2024-03-28,DET,away,668670,Jake Rogers,4,0,0,0,0,0,0,0,1,0
746821,2024-03-28,DET,away,663837,Matt Vierling,4,0,1,0,0,0,0,0,3,0
746821,2024-03-28,DET,away,628451,Andy Ibáñez,2,0,1,0,0,0,1,0,1,0
746821,2024-03-28,DET,away,678009,Parker Meadows,3,0,0,0,0,0,0,0,1,0
746821,2024-03-28,DET,away,690993,Colt Keith,4,0,1,0,0,0,0,0,0,0
746089,2024-03-28,MIA,home,669394,Jake Burger,4,1,3,0,0,0,3,0,0,0
746089,2024-03-28,MIA,home,650559,Bryan De La Cruz,6,1,1,0,0,0,0,0,1,0
746089,2024-03-28,MIA,home,624503,Nick Gordon,3,0,0,0,0,0,0,0,1,0
746089,2024-03-28,MIA,home,681146,Jonah Bride,1,0,0,0,0,0,0,0,0,0
746089,2024-03-28,MIA,home,605137,Josh Bell,4,1,2,0,0,0,0,1,1,0
746089,2024-03-28,MIA,home,542194,Christian Bethancourt,0,0,0,0,0,0,0,0,0,0
746089,2024-03-28,MIA,home,541645,Avisaíl García,2,0,0,0,0,0,0,0,1,0
746089,2024-03-28,MIA,home,641313,Tim Anderson,5,0,1,1,0,0,1,0,1,0
746089,2024-03-28,MIA,home,663743,Nick Fortes,3,0,0,0,0,0,0,0,0,0
746089,2024-03-28,MIA,home,665862,Jazz Chisholm Jr.,3,2,1,1,0,0,0,2,0,0
746089,2024-03-28,MIA,home,660821,Jesús Sánchez,3,0,0,0,0,0,1,0,0,1
746089,2024-03-28,MIA,home,660644,Vidal Bruján,1,0,0,0,0,0,0,1,1,0
746089,2024-03-28,MIA,home,650333,Luis Arraez,6,0,0,0,0,0,0,0,1,0
746089,2024-03-28,PIT,away,668804,Bryan Reynolds,5,1,2,1,0,1,2,1,2,0
746089,2024-03-28,PIT,away,665833,Oneil Cruz,5,1,1,0,0,1,1,1,3,0
746089,2024-03-28,PIT,away,642133,Rowdy Tellez,2,0,0,0,0,0,0,0,2,0
746089,2024-03-28,PIT,away,658668,Edward Olivares,1,1,1,0,0,1,1,0,0,0
746089,2024-03-28,PIT,away,656582,Connor Joe,4,1,0,0,0,0,0,2,0,0
746089,2024-03-28,PIT,away,663647,Ke'Bryan Hayes,4,1,2,1,0,0,0,2,1,0
746089,2024-03-28,PIT,away,669707,Jared Triolo,6,0,1,0,0,0,1,0,2,0
746089,2024-03-28,PIT,away,457705,Andrew McCutchen,5,0,0,0,0,0,1,1,4,0
746089,2024-03-28,PIT,away,680779,Henry Davis,6,0,1,0,0,0,0,0,1,0
746089,2024-03-28,PIT,away,572191,Michael A. Taylor,5,1,1,0,0,0,0,0,2,0
746089,2024-03-28,PIT,away,669261,Jack Suwinski,1,0,0,0,0,0,0,1,0,0
746418,2024-03-28,HOU,home,663656,Kyle Tucker,4,1,1,0,0,0,0,1,2,0
746418,2024-03-28,HOU,home,572138,Jon Singleton,1,0,0,0,0,0,0,0,0,0
746418,2024-03-28,HOU,home,643289,Mauricio Dubón,1,0,1,0,0,0,0,0,0,0
746418,2024-03-28,HOU,home,608324,Alex Bregman,5,0,1,0,0,0,0,0,0,0
746418,2024-03-28,HOU,home,676694,Jake Meyers,2,1,1,0,0,1,1,0,1,0
746418,2024-03-28,HOU,home,547989,José Abreu,3,1,0,0,0,0,0,1,1,0
746418,2024-03-28,HOU,home,514888,Jose Altuve,5,0,1,0,0,0,0,0,2,0
746418,2024-03-28,HOU,home,665161,Jeremy Peña,4,0,2,1,0,0,0,0,0,0
746418,2024-03-28,HOU,home,676801,Chas McCormick,4,0,1,0,0,0,2,0,1,0
746418,2024-03-28,HOU,home,673237,Yainer Diaz,4,0,3,0,0,0,1,0,0,0
746418,2024-03-28,HOU,home,670541,Yordan Alvarez,5,1,2,0,0,0,0,0,0,0
746418,2024-03-28,NYY,away,519203,Anthony Rizzo,3,0,1,0,0,0,1,1,1,0
746418,2024-03-28,NYY,away,665828,Oswaldo Cabrera,4,2,2,0,0,1,1,0,1,0
746418,2024-03-28,NYY,away,657077,Alex Verdugo,3,0,1,0,0,0,1,0,0,0
746418,2024-03-28,NYY,away,592450,Aaron Judge,4,1,1,1,0,0,0,1,2,0
746418,2024-03-28,NYY,away,650402,Gleyber Torres,4,1,0,0,0,0,0,1,1,0
746418,2024-03-28,NYY,away,624431,Jose Trevino,3,1,0,0,0,0,0,1,1,0
746418,2024-03-28,NYY,away,683011,Anthony Volpe,2,0,1,0,0,0,1,3,1,0
746418,2024-03-28,NYY,away,519317,Giancarlo Stanton,5,0,1,0,0,0,0,0,2,0
746418,2024-03-28,NYY,away,665742,Juan Soto,3,0,1,0,0,0,1,2,1,0
745039,2024-03-28,TEX,home,641680,Jonah Heim,5,0,1,0,0,0,1,0,2,0
745039,2024-03-28,TEX,home,694497,Evan Carter,3,0,0,0,0,0,0,1,0,0
745039,2024-03-28,TEX,home,694671,Wyatt Langford,3,0,1,0,0,0,1,1,1,0
745039,2024-03-28,TEX,home,665750,Leody Taveras,3,0,0,0,0,0,0,0,1,0
745039,2024-03-28,TEX,home,608369,Corey Seager,5,0,1,0,0,0,0,0,1,0
745039,2024-03-28,TEX,home,543760,Marcus Semien,4,0,0,0,0,0,0,1,2,0
745039,2024-03-28,TEX,home,673962,Josh Jung,3,2,1,1,0,0,0,2,0,0
745039,2024-03-28,TEX,home,665120,Jared Walsh,0,0,0,0,0,0,0,0,0,0
745039,2024-03-28,TEX,home,677649,Ezequiel Duran,3,0,1,1,0,0,0,0,2,0
745039,2024-03-28,TEX,home,608671,Travis Jankowski,1,1,1,0,0,1,1,0,0,0
745039,2024-03-28,TEX,home,666969,Adolis García,4,1,2,0,0,1,1,1,1,0
745039,2024-03-28,CHC,away,643265,Garrett Cooper,1,0,0,0,0,0,0,0,1,0
745039,2024-03-28,CHC,away,666624,Christopher Morel,5,1,2,0,1,0,0,0,1,0
745039,2024-03-28,CHC,away,663611,Nick Madrigal,3,0,1,1,0,0,0,0,0,0
745039,2024-03-28,CHC,away,664023,Ian Happ,4,0,0,0,0,0,0,1,1,0
745039,2024-03-28,CHC,away,683737,Michael Busch,2,1,1,0,0,0,0,2,1,0
745039,2024-03-28,CHC,away,665804,Miguel Amaya,0,0,0,0,0,0,0,0,0,0
745039,2024-03-28,CHC,away,543228,Yan Gomes,3,0,0,0,0,0,0,0,1,0
745039,2024-03-28,CHC,away,670156,Miles Mastrobuoni,1,0,0,0,0,0,0,0,0,0
