game_id,game_date,team_id,side,player_id,player_name,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases
823081,2026-03-26,STL,home,669357,Nolan Gorman,4,1,1,0,0,0,2,0,1,0
823081,2026-03-26,STL,home,691023,Jordan Walker,4,1,1,1,0,0,0,0,0,0
823081,2026-03-26,STL,home,701675,Nathan Church,4,1,3,0,0,0,2,0,0,0
823081,2026-03-26,STL,home,687363,Victor Scott II,4,1,3,0,0,0,0,0,0,2
823081,2026-03-26,STL,home,802139,JJ Wetherholt,4,1,1,0,0,1,2,0,1,0
823081,2026-03-26,STL,home,676475,Alec Burleson,4,2,3,0,0,1,2,1,0,0
823081,2026-03-26,STL,home,602104,Ramón Urías,0,0,0,0,0,0,0,0,0,0
823081,2026-03-26,STL,home,686780,Pedro Pagés,4,1,1,0,0,0,0,0,0,0
823081,2026-03-26,STL,home,691026,Masyn Winn,5,1,1,1,0,0,0,0,1,0
823081,2026-03-26,STL,home,671056,Iván Herrera,4,0,0,0,0,0,1,0,0,0
823081,2026-03-26,TB,away,680700,Richie Palacios,2,0,0,0,0,0,0,0,1,0
823081,2026-03-26,TB,away,700246,Carson Williams,5,1,1,0,0,0,0,0,1,0
823081,2026-03-26,TB,away,668723,Ryan Vilade,3,0,0,0,0,0,0,0,0,0
823081,2026-03-26,TB,away,641584,Jake Fraley,1,0,1,0,0,0,0,0,0,0
823081,2026-03-26,TB,away,802415,Chandler Simpson,3,1,1,0,0,0,1,0,0,0
823081,2026-03-26,TB,away,676356,Jonny DeLuca,4,0,2,0,0,0,2,0,0,0
823081,2026-03-26,TB,away,676439,Hunter Feduccia,1,0,0,0,0,0,0,0,1,0
823081,2026-03-26,TB,away,666018,Jonathan Aranda,4,1,2,0,0,1,2,1,1,0
823081,2026-03-26,TB,away,663743,Nick Fortes,4,1,3,0,0,0,1,0,0,0
823081,2026-03-26,TB,away,650490,Yandy Díaz,5,1,3,0,0,0,0,1,0,0
823081,2026-03-26,TB,away,810938,Ben Williamson,4,1,3,0,0,0,1,0,0,0
823081,2026-03-26,TB,away,691406,Junior Caminero,2,1,1,0,0,0,0,4,1,0
823081,2026-03-26,TB,away,656775,Cedric Mullins,5,0,0,0,0,0,0,0,0,0
823163,2026-03-26,SEA,home,647304,Josh Naylor,4,0,0,0,0,0,0,0,0,0
823163,2026-03-26,SEA,home,702284,Cole Young,3,0,0,0,0,0,0,0,3,0
823163,2026-03-26,SEA,home,668227,Randy Arozarena,4,0,1,1,0,0,0,0,1,0
823163,2026-03-26,SEA,home,686527,Dominic Canzone,4,2,2,0,0,2,2,0,0,0
823163,2026-03-26,SEA,home,663728,Cal Raleigh,3,0,0,0,0,0,0,1,3,0
823163,2026-03-26,SEA,home,680977,Brendan Donovan,4,1,2,1,0,1,1,0,1,0
823163,2026-03-26,SEA,home,677594,Julio Rodríguez,4,0,0,0,0,0,0,0,3,0
823163,2026-03-26,SEA,home,660844,Leo Rivas,2,0,0,0,0,0,0,1,1,0
823163,2026-03-26,SEA,home,670042,Luke Raley,4,1,1,0,0,1,1,0,2,0
823163,2026-03-26,CLE,away,800050,Chase DeLauter,5,3,3,0,0,2,2,0,1,0
823163,2026-03-26,CLE,away,682177,Daniel Schneemann,2,1,1,1,0,0,0,0,1,0
